Species,Lat,Long
swinhonis,37.468596,126.623061
swinhonis,40.716667,120.833333
swinhonis,38.954975,120.97745
swinhonis,39.166667,117.166667
swinhonis,38.866667,115.483333
swinhonis,38.066667,114.483333
swinhonis,37.733333,115.683333
swinhonis,37.733333,117.6
swinhonis,36.85,120.433333
swinhonis,36.95,120.7
swinhonis,35.05,118.333333
swinhonis,35.4,116.966667
swinhonis,37.566667,112.383333
swinhonis,37.7,113.683333
swinhonis,34.833333,111.216667
swinhonis,34.15,107.85
swinhonis,34.483333,109.283333
swinhonis,32.833333,109.35
swinhonis,35.166667,113.05
swinhonis,34.65,112.45
swinhonis,33.783333,111.6
swinhonis,34.4,115.633333
swinhonis,32.983333,112.55
swinhonis,34.266667,117.2
swinhonis,33.783333,119.25
swinhonis,32.916667,115.833333
swinhonis,33.016667,117.033333
swinhonis,32.116667,112.766667
swinhonis,39.805399,116.48717
swinhonis,39.904578,116.37035
swinhonis,34.414548,113.83757
swinhonis,34.5191155,113.811628
swinhonis,34.464876,113.95968
swinhonis,39.975978,115.45584
swinhonis,39.926836,116.13755
swinhonis,39.172179,117.2544
swinhonis,40.0179985,116.55567
swinhonis,40.002392,116.18478
swinhonis,40.409944,116.30948
swinhonis,39.88236,116.52645
swinhonis,40.58617,116.26585
swinhonis,40.232554,116.86708
swinhonis,39.13318,117.06774
swinhonis,40.15372,116.27911
swinhonis,40.113425,116.067069
swinhonis,40.393135,116.8766
swinhonis,39.911969,116.66745
swinhonis,39.827311,116.07378
swinhonis,33.736384,112.7156
swinhonis,40.139747,116.42616
swinhonis,36.697965,117.16757
